nombre_hotel,reviews_hotel,rating_hotel,precio_medio_por noche,ciudad,servicios,link
BO Hotel Palma,211,4.5,255.5,Palma de Mallorca,"['Free Wifi', 'Pool', 'Restaurant', 'Airport transportation', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187463-d10062114-Reviews-BO_Hotel_Palma-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Icon Rosetó,638,4.5,253.5,Palma de Mallorca,"['Free Wifi', 'Restaurant', 'Room service', 'Pets Allowed', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d12978599-Reviews-Icon_Roseto-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Nou Baleares,134,4.5,156.5,Palma de Mallorca,"['Free Wifi', 'Restaurant', 'Bar/Lounge', 'Fitness center']",https://www.tripadvisor.com/Hotel_Review-g187463-d20109445-Reviews-Hotel_Nou_Baleares-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Sercotel Zurbarán,281,4.0,154.0,Palma de Mallorca,"['Free Wifi', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d266980-Reviews-Hotel_Sercotel_Zurbaran-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Glòria de Sant Jaume,256,5.0,496.5,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Pool', 'Indoor pool', 'Outdoor pool']",https://www.tripadvisor.com/Hotel_Review-g187463-d13559227-Reviews-Hotel_Gloria_de_Sant_Jaume-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Lis Mallorca,234,3.5,159.0,Palma de Mallorca,"['Free Wifi', 'Pool', 'Outdoor pool', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d1498480-Reviews-Hotel_Lis_Mallorca-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Isla Mallorca & Spa,2118,4.0,156.5,Palma de Mallorca,"['Free Wifi', 'Pool', 'Heated pool', 'Indoor pool', 'Outdoor pool']",https://www.tripadvisor.com/Hotel_Review-g187463-d231678-Reviews-Hotel_Isla_Mallorca_Spa-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Ciutat Jardi,203,4.5,223.5,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Pool', 'Beachfront', 'Outdoor pool']",https://www.tripadvisor.com/Hotel_Review-g187463-d1226865-Reviews-Hotel_Ciutat_Jardi-Palma_de_Mallorca_Majorca_Balearic_Islands.html
AH Art Hotel Palma,691,5.0,247.0,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Restaurant', 'Airport transportation', 'Pets Allowed']",https://www.tripadvisor.com/Hotel_Review-g187463-d8478269-Reviews-AH_Art_Hotel_Palma-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Puro Grand Hotel,151,5.0,400.0,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Restaurant', 'Airport transportation', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187463-d24109272-Reviews-Puro_Grand_Hotel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
